字,小韻,聲母,韻目,調,等,呼,韻母
雓,余,以,魚,平,三,開,魚
胥,胥,心,魚,平,三,開,魚
䱬,胥,心,魚,平,三,開,魚
䈝,胥,心,魚,平,三,開,魚
稰,胥,心,魚,平,三,開,魚
楈,胥,心,魚,平,三,開,魚
藇,胥,心,魚,平,三,開,魚
諝,胥,心,魚,平,三,開,魚
㥠,胥,心,魚,平,三,開,魚
湑,胥,心,魚,平,三,開,魚
蝑,胥,心,魚,平,三,開,魚
揟,胥,心,魚,平,三,開,魚
疽,疽,清,魚,平,三,開,魚
岨,疽,清,魚,平,三,開,魚
砠,疽,清,魚,平,三,開,魚
䢸,疽,清,魚,平,三,開,魚
趄,疽,清,魚,平,三,開,魚
苴,疽,清,魚,平,三,開,魚
沮,疽,清,魚,平,三,開,魚
狙,疽,清,魚,平,三,開,魚
䏣,疽,清,魚,平,三,開,魚
蛆,疽,清,魚,平,三,開,魚
雎,疽,清,魚,平,三,開,魚
蒩,疽,清,魚,平,三,開,魚
𣻐,疽,清,魚,平,三,開,魚
伹,疽,清,魚,平,三,開,魚
坥,疽,清,魚,平,三,開,魚
𡳆,疽,清,魚,平,三,開,魚
鉏,鉏,崇,魚,平,三,開,魚
鋤,鉏,崇,魚,平,三,開,魚
耡,鉏,崇,魚,平,三,開,魚
豠,鉏,崇,魚,平,三,開,魚
𧱑,鉏,崇,魚,平,三,開,魚
𪆷,鉏,崇,魚,平,三,開,魚
攄,攄,徹,魚,平,三,開,魚
㯉,攄,徹,魚,平,三,開,魚
筡,攄,徹,魚,平,三,開,魚
摴,攄,徹,魚,平,三,開,魚
䟽,䟽,生,魚,平,三,開,魚
䟽,䟽,生,御,去,三,開,魚
梳,䟽,生,魚,平,三,開,魚
梳,䟽,生,御,去,三,開,魚
綀,䟽,生,魚,平,三,開,魚
綀,䟽,生,御,去,三,開,魚
蔬,䟽,生,魚,平,三,開,魚
蔬,䟽,生,御,去,三,開,魚
踈,䟽,生,魚,平,三,開,魚
踈,䟽,生,御,去,三,開,魚
𥿇,䟽,生,魚,平,三,開,魚
𥿇,䟽,生,御,去,三,開,魚
釃,䟽,生,魚,平,三,開,魚
釃,䟽,生,御,去,三,開,魚
𦌿,䟽,生,魚,平,三,開,魚
𦌿,䟽,生,御,去,三,開,魚
𤕟,䟽,生,魚,平,三,開,魚
𤕟,䟽,生,御,去,三,開,魚
㽰,䟽,生,魚,平,三,開,魚
㽰,䟽,生,御,去,三,開,魚
疋,䟽,生,魚,平,三,開,魚
疋,䟽,生,御,去,三,開,魚
捒,䟽,生,魚,平,三,開,魚
捒,䟽,生,御,去,三,開,魚
㫹,䟽,生,魚,平,三,開,魚
㫹,䟽,生,御,去,三,開,魚
虚,虚,曉,魚,平,三,開,魚
虚,虚,溪,魚,平,三,開,魚
驉,虚,曉,魚,平,三,開,魚
驉,虚,溪,魚,平,三,開,魚
歔,虚,曉,魚,平,三,開,魚
歔,虚,溪,魚,平,三,開,魚
噓,虚,曉,魚,平,三,開,魚
噓,虚,溪,魚,平,三,開,魚
魖,虚,曉,魚,平,三,開,魚
魖,虚,溪,魚,平,三,開,魚
𥛳,虚,曉,魚,平,三,開,魚
𥛳,虚,溪,魚,平,三,開,魚
墟,虚,曉,魚,平,三,開,魚
墟,虚,溪,魚,平,三,開,魚
𥬔,虚,曉,魚,平,三,開,魚
𥬔,虚,溪,魚,平,三,開,魚
袪,虚,曉,魚,平,三,開,魚
袪,虚,溪,魚,平,三,開,魚
阹,虚,曉,魚,平,三,開,魚
阹,虚,溪,魚,平,三,開,魚
椐,虚,曉,魚,平,三,開,魚
椐,虚,溪,魚,平,三,開,魚
胠,虚,曉,魚,平,三,開,魚
胠,虚,溪,魚,平,三,開,魚
魼,虚,曉,魚,平,三,開,魚
魼,虚,溪,魚,平,三,開,魚
㠊,虚,曉,魚,平,三,開,魚
㠊,虚,溪,魚,平,三,開,魚
𢴮,虚,曉,魚,平,三,開,魚
𢴮,虚,溪,魚,平,三,開,魚
㭕,虚,曉,魚,平,三,開,魚
㭕,虚,溪,魚,平,三,開,魚
䒧,虚,曉,魚,平,三,開,魚
䒧,虚,溪,魚,平,三,開,魚
徐,徐,邪,魚,平,三,開,魚
䣄,徐,邪,魚,平,三,開,魚
䍱,徐,邪,魚,平,三,開,魚
俆,徐,邪,魚,平,三,開,魚
於,於,影,魚,平,三,開,魚
扵,於,影,魚,平,三,開,魚
箊,於,影,魚,平,三,開,魚
淤,於,影,魚,平,三,開,魚
唹,於,影,魚,平,三,開,魚
豬,豬,知,魚,平,三,開,魚
䐗,豬,知,魚,平,三,開,魚
猪,豬,知,魚,平,三,開,魚
瀦,豬,知,魚,平,三,開,魚
櫫,豬,知,魚,平,三,開,魚
藸,豬,知,魚,平,三,開,魚
臚,臚,來,魚,平,三,開,魚
閭,臚,來,魚,平,三,開,魚
䰕,臚,來,魚,平,三,開,魚
廬,臚,來,魚,平,三,開,魚
蘆,臚,來,魚,平,三,開,魚
櫚,臚,來,魚,平,三,開,魚
驢,臚,來,魚,平,三,開,魚
藘,臚,來,魚,平,三,開,魚
䕡,臚,來,魚,平,三,開,魚
爈,臚,來,魚,平,三,開,魚
𤁵,臚,來,魚,平,三,開,魚
㠠,臚,來,魚,平,三,開,魚
櫖,臚,來,魚,平,三,開,魚
璷,臚,來,魚,平,三,開,魚
䮉,臚,來,魚,平,三,開,魚
𥶆,臚,來,魚,平,三,開,魚
𢣻,臚,來,魚,平,三,開,魚
諸,諸,章,魚,平,三,開,魚
櫧,諸,章,魚,平,三,開,魚
㶆,諸,章,魚,平,三,開,魚
藷,諸,章,魚,平,三,開,魚
𧄔,諸,章,魚,平,三,開,魚
䃴,諸,章,魚,平,三,開,魚
蠩,諸,章,魚,平,三,開,魚
除,除,澄,魚,平,三,開,魚
躇,除,澄,魚,平,三,開,魚
儲,除,澄,魚,平,三,開,魚
涂,除,澄,魚,平,三,開,魚
篨,除,澄,魚,平,三,開,魚
𦿀,除,澄,魚,平,三,開,魚
宁,除,澄,魚,平,三,開,魚
㾻,除,澄,魚,平,三,開,魚
著,除,澄,魚,平,三,開,魚
滁,除,澄,魚,平,三,開,魚
蒢,除,澄,魚,平,三,開,魚
屠,除,澄,魚,平,三,開,魚
藸,除,澄,魚,平,三,開,魚
如,如,日,魚,平,三,開,魚
蒘,如,日,魚,平,三,開,魚
𨚴,如,日,魚,平,三,開,魚
洳,如,日,魚,平,三,開,魚
鴽,如,日,魚,平,三,開,魚
𨾵,如,日,魚,平,三,開,魚
𡫽,如,日,魚,平,三,開,魚
茹,如,日,魚,平,三,開,魚
且,且,精,魚,平,三,開,魚
且,且,清,馬,上,三,開,麻三開
蛆,且,精,魚,平,三,開,魚
蛆,且,清,馬,上,三,開,麻三開
苴,且,精,魚,平,三,開,魚
苴,且,清,馬,上,三,開,麻三開
沮,且,精,魚,平,三,開,魚
沮,且,清,馬,上,三,開,麻三開
菹,菹,莊,魚,平,三,開,魚
𧄗,菹,莊,魚,平,三,開,魚
䶥,菹,莊,魚,平,三,開,魚
沮,菹,莊,魚,平,三,開,魚
蜍,蜍,常,魚,平,三,開,魚
𧄔,蜍,常,魚,平,三,開,魚
袽,袽,孃,魚,平,三,開,魚
帤,袽,孃,魚,平,三,開,魚
𣭠,袽,孃,魚,平,三,開,魚
蒘,袽,孃,魚,平,三,開,魚
𣖹,袽,孃,魚,平,三,開,魚
挐,袽,孃,魚,平,三,開,魚
虞,虞,疑,虞,平,三,合,虞
𩦢,虞,疑,虞,平,三,合,虞
愚,虞,疑,虞,平,三,合,虞
娛,虞,疑,虞,平,三,合,虞
湡,虞,疑,虞,平,三,合,虞
堣,虞,疑,虞,平,三,合,虞
𪃍,虞,疑,虞,平,三,合,虞
嵎,虞,疑,虞,平,三,合,虞
髃,虞,疑,虞,平,三,合,虞
禺,虞,疑,虞,平,三,合,虞
隅,虞,疑,虞,平,三,合,虞
䴁,虞,疑,虞,平,三,合,虞
鰅,虞,疑,虞,平,三,合,虞
鍝,虞,疑,虞,平,三,合,虞
澞,虞,疑,虞,平,三,合,虞
𧍪,虞,疑,虞,平,三,合,虞
㷒,虞,疑,虞,平,三,合,虞
齵,虞,疑,虞,平,三,合,虞
鸆,虞,疑,虞,平,三,合,虞
𨜖,虞,疑,虞,平,三,合,虞
芻,芻,初,虞,平,三,合,虞
犓,芻,初,虞,平,三,合,虞
無,無,明,虞,平,三,合,虞
毋,無,明,虞,平,三,合,虞
瞴,無,明,虞,平,三,合,虞
膴,無,明,虞,平,三,合,虞
蕪,無,明,虞,平,三,合,虞
誣,無,明,虞,平,三,合,虞
巫,無,明,虞,平,三,合,虞
莁,無,明,虞,平,三,合,虞
璑,無,明,虞,平,三,合,虞
𨼊,無,明,虞,平,三,合,虞
䉑,無,明,虞,平,三,合,虞
鷡,無,明,虞,平,三,合,虞
𦌬,無,明,虞,平,三,合,虞
蝥,無,明,虞,平,三,合,虞
𢜮,無,明,虞,平,三,合,虞
无,無,明,虞,平,三,合,虞
𢃀,無,明,虞,平,三,合,虞
譕,無,明,虞,平,三,合,虞
墲,無,明,虞,平,三,合,虞
鵐,無,明,虞,平,三,合,虞
憮,無,明,虞,平,三,合,虞
䍢,無,明,虞,平,三,合,虞
于,于,云,虞,平,三,合,虞
迂,于,云,虞,平,三,合,虞
盂,于,云,虞,平,三,合,虞
邘,于,云,虞,平,三,合,虞
雩,于,云,虞,平,三,合,虞
𦏴,于,云,虞,平,三,合,虞
竽,于,云,虞,平,三,合,虞
玗,于,云,虞,平,三,合,虞
芋,于,云,虞,平,三,合,虞
汙,于,云,虞,平,三,合,虞
䣿,于,云,虞,平,三,合,虞
杅,于,云,虞,平,三,合,虞
釪,于,云,虞,平,三,合,虞
𧘘,于,云,虞,平,三,合,虞
骬,于,云,虞,平,三,合,虞
𠌶,于,云,虞,平,三,合,虞
謣,于,云,虞,平,三,合,虞
䩒,于,云,虞,平,三,合,虞
䢓,于,云,虞,平,三,合,虞
𦱃,于,云,虞,平,三,合,虞
訏,訏,曉,虞,平,三,合,虞
吁,訏,曉,虞,平,三,合,虞
雩,訏,曉,虞,平,三,合,虞
欨,訏,曉,虞,平,三,合,虞
㽳,訏,曉,虞,平,三,合,虞
盱,訏,曉,虞,平,三,合,虞
𧙆,訏,曉,虞,平,三,合,虞
𥈈,訏,曉,虞,平,三,合,虞
姁,訏,曉,虞,平,三,合,虞
𦀒,訏,曉,虞,平,三,合,虞
扜,訏,曉,虞,平,三,合,虞
𠌶,訏,曉,虞,平,三,合,虞
荂,訏,曉,虞,平,三,合,虞
𢖳,訏,曉,虞,平,三,合,虞
䣿,訏,曉,虞,平,三,合,虞
旴,訏,曉,虞,平,三,合,虞
䩒,訏,曉,虞,平,三,合,虞
㰭,訏,曉,虞,平,三,合,虞
虖,訏,曉,虞,平,三,合,虞
𥈸,訏,曉,虞,平,三,合,虞
衢,衢,羣,虞,平,三,合,虞
劬,衢,羣,虞,平,三,合,虞
軥,衢,羣,虞,平,三,合,虞
氍,衢,羣,虞,平,三,合,虞
眗,衢,羣,虞,平,三,合,虞
䧁,衢,羣,虞,平,三,合,虞
臞,衢,羣,虞,平,三,合,虞
癯,衢,羣,虞,平,三,合,虞
鴝,衢,羣,虞,平,三,合,虞
鸜,衢,羣,虞,平,三,合,虞
灈,衢,羣,虞,平,三,合,虞
躣,衢,羣,虞,平,三,合,虞
忂,衢,羣,虞,平,三,合,虞
𩢳,衢,羣,虞,平,三,合,虞
鼩,衢,羣,虞,平,三,合,虞
蘧,衢,羣,虞,平,三,合,虞
斪,衢,羣,虞,平,三,合,虞
句,衢,羣,虞,平,三,合,虞
蠷,衢,羣,虞,平,三,合,虞
瞿,衢,羣,虞,平,三,合,虞
欋,衢,羣,虞,平,三,合,虞
葋,衢,羣,虞,平,三,合,虞
翵,衢,羣,虞,平,三,合,虞
翑,衢,羣,虞,平,三,合,虞
蚼,衢,羣,虞,平,三,合,虞
𪓞,衢,羣,虞,平,三,合,虞
𧾱,衢,羣,虞,平,三,合,虞
䞤,衢,羣,虞,平,三,合,虞
𠣪,衢,羣,虞,平,三,合,虞
絇,衢,羣,虞,平,三,合,虞
𡱺,衢,羣,虞,平,三,合,虞
𥃔,衢,羣,虞,平,三,合,虞
𥗫,衢,羣,虞,平,三,合,虞
戵,衢,羣,虞,平,三,合,虞
鑺,衢,羣,虞,平,三,合,虞
姁,衢,羣,虞,平,三,合,虞
儒,儒,日,虞,平,三,合,虞
獳,儒,日,虞,平,三,合,虞
濡,儒,日,虞,平,三,合,虞
襦,儒,日,虞,平,三,合,虞
懦,儒,日,虞,平,三,合,虞
嚅,儒,日,虞,平,三,合,虞
鱬,儒,日,虞,平,三,合,虞
𪋯,儒,日,虞,平,三,合,虞
嬬,儒,日,虞,平,三,合,虞
繻,儒,日,虞,平,三,合,虞
顬,儒,日,虞,平,三,合,虞
䞕,儒,日,虞,平,三,合,虞
臑,儒,日,虞,平,三,合,虞
醹,儒,日,虞,平,三,合,虞
㼱,儒,日,虞,平,三,合,虞
䰰,儒,日,虞,平,三,合,虞
須,須,心,虞,平,三,合,虞
鬚,須,心,虞,平,三,合,虞
嬃,須,心,虞,平,三,合,虞
𩓣,須,心,虞,平,三,合,虞
𥪥,須,心,虞,平,三,合,虞
繻,須,心,虞,平,三,合,虞
𢄼,須,心,虞,平,三,合,虞
𪋯,須,心,虞,平,三,合,虞
需,須,心,虞,平,三,合,虞
娶,須,心,虞,平,三,合,虞
緰,須,心,虞,平,三,合,虞
蕦,須,心,虞,平,三,合,虞
鑐,須,心,虞,平,三,合,虞
隃,須,心,虞,平,三,合,虞
株,株,知,虞,平,三,合,虞
誅,株,知,虞,平,三,合,虞
邾,株,知,虞,平,三,合,虞
鼄,株,知,虞,平,三,合,虞
蛛,株,知,虞,平,三,合,虞
跦,株,知,虞,平,三,合,虞
袾,株,知,虞,平,三,合,虞
列,株,知,虞,平,三,合,虞
㦵,株,知,虞,平,三,合,虞
鴸,株,知,虞,平,三,合,虞
𪏿,株,知,虞,平,三,合,虞
貙,貙,徹,虞,平,三,合,虞
𤠾,貙,徹,虞,平,三,合,虞
殊,殊,常,虞,平,三,合,虞
銖,殊,常,虞,平,三,合,虞
洙,殊,常,虞,平,三,合,虞
茱,殊,常,虞,平,三,合,虞
㼡,殊,常,虞,平,三,合,虞
殳,殊,常,虞,平,三,合,虞
𢎦,殊,常,虞,平,三,合,虞
㸡,殊,常,虞,平,三,合,虞
𦤂,殊,常,虞,平,三,合,虞
陎,殊,常,虞,平,三,合,虞
𠘧,殊,常,虞,平,三,合,虞
杸,殊,常,虞,平,三,合,虞
逾,逾,以,虞,平,三,合,虞
踰,逾,以,虞,平,三,合,虞
窬,逾,以,虞,平,三,合,虞
臾,逾,以,虞,平,三,合,虞
楰,逾,以,虞,平,三,合,虞
腴,逾,以,虞,平,三,合,虞
諛,逾,以,虞,平,三,合,虞
隃,逾,以,虞,平,三,合,虞
鄃,逾,以,虞,平,三,合,虞
覦,逾,以,虞,平,三,合,虞
𨵦,逾,以,虞,平,三,合,虞
俞,逾,以,虞,平,三,合,虞
歈,逾,以,虞,平,三,合,虞
愉,逾,以,虞,平,三,合,虞
𢋅,逾,以,虞,平,三,合,虞
揄,逾,以,虞,平,三,合,虞
褕,逾,以,虞,平,三,合,虞
瑜,逾,以,虞,平,三,合,虞
崳,逾,以,虞,平,三,合,虞
㥚,逾,以,虞,平,三,合,虞
羭,逾,以,虞,平,三,合,虞
蝓,逾,以,虞,平,三,合,虞
榆,逾,以,虞,平,三,合,虞
萸,逾,以,虞,平,三,合,虞
堬,逾,以,虞,平,三,合,虞
牏,逾,以,虞,平,三,合,虞
渝,逾,以,虞,平,三,合,虞
媮,逾,以,虞,平,三,合,虞
𤜹,逾,以,虞,平,三,合,虞
㳛,逾,以,虞,平,三,合,虞
𤧙,逾,以,虞,平,三,合,虞
瘉,逾,以,虞,平,三,合,虞
螸,逾,以,虞,平,三,合,虞
蕍,逾,以,虞,平,三,合,虞
𦺮,逾,以,虞,平,三,合,虞
䩱,逾,以,虞,平,三,合,虞
䜽,逾,以,虞,平,三,合,虞
萮,逾,以,虞,平,三,合,虞
𧃠,逾,以,虞,平,三,合,虞
舀,逾,以,虞,平,三,合,虞
㼶,逾,以,虞,平,三,合,虞
騟,逾,以,虞,平,三,合,虞
𢔢,逾,以,虞,平,三,合,虞
𥯮,逾,以,虞,平,三,合,虞
𥔢,逾,以,虞,平,三,合,虞
區,區,溪,虞,平,三,合,虞
鰸,區,溪,虞,平,三,合,虞
驅,區,溪,虞,平,三,合,虞
敺,區,溪,虞,平,三,合,虞
嶇,區,溪,虞,平,三,合,虞
軀,區,溪,虞,平,三,合,虞
摳,區,溪,虞,平,三,合,虞
䧢,區,溪,虞,平,三,合,虞
朱,朱,章,虞,平,三,合,虞
珠,朱,章,虞,平,三,合,虞
侏,朱,章,虞,平,三,合,虞
絑,朱,章,虞,平,三,合,虞
秼,朱,章,虞,平,三,合,虞
咮,朱,章,虞,平,三,合,虞
鴸,朱,章,虞,平,三,合,虞
鮢,朱,章,虞,平,三,合,虞
𤝹,朱,章,虞,平,三,合,虞
硃,朱,章,虞,平,三,合,虞
趨,趨,清,虞,平,三,合,虞
趍,趨,清,虞,平,三,合,虞
鯫,趨,清,虞,平,三,合,虞
慺,慺,來,虞,平,三,合,虞
蔞,慺,來,虞,平,三,合,虞
氀,慺,來,虞,平,三,合,虞
瞜,慺,來,虞,平,三,合,虞
䱾,慺,來,虞,平,三,合,虞
㟺,慺,來,虞,平,三,合,虞
䝏,慺,來,虞,平,三,合,虞
㺏,慺,來,虞,平,三,合,虞
摟,慺,來,虞,平,三,合,虞
鷜,慺,來,虞,平,三,合,虞
鏤,慺,來,虞,平,三,合,虞
䣚,慺,來,虞,平,三,合,虞
婁,慺,來,虞,平,三,合,虞
瘻,慺,來,虞,平,三,合,虞
𤗬,慺,來,虞,平,三,合,虞
膢,慺,來,虞,平,三,合,虞
扶,扶,並,虞,平,三,合,虞
𢺻,扶,並,虞,平,三,合,虞
芙,扶,並,虞,平,三,合,虞
符,扶,並,虞,平,三,合,虞
颫,扶,並,虞,平,三,合,虞
鳧,扶,並,虞,平,三,合,虞
榑,扶,並,虞,平,三,合,虞
苻,扶,並,虞,平,三,合,虞
蚨,扶,並,虞,平,三,合,虞
夫,扶,並,虞,平,三,合,虞
𦽏,扶,並,虞,平,三,合,虞
𣿆,扶,並,虞,平,三,合,虞
枹,扶,並,虞,平,三,合,虞
瓿,扶,並,虞,平,三,合,虞
𧥱,扶,並,虞,平,三,合,虞
枎,扶,並,虞,平,三,合,虞
坿,扶,並,虞,平,三,合,虞
泭,扶,並,虞,平,三,合,虞
𣻜,扶,並,虞,平,三,合,虞
𤱽,扶,並,虞,平,三,合,虞
𣘧,扶,並,虞,平,三,合,虞
𣻥,扶,並,虞,平,三,合,虞
𢞦,扶,並,虞,平,三,合,虞
𦑹,扶,並,虞,平,三,合,虞
𦔾,扶,並,虞,平,三,合,虞
玸,扶,並,虞,平,三,合,虞
䅳,䅳,崇,虞,平,三,合,虞
雛,䅳,崇,虞,平,三,合,虞
鶵,䅳,崇,虞,平,三,合,虞
媰,䅳,崇,虞,平,三,合,虞
㑳,㑳,莊,虞,平,三,合,虞
搊,㑳,莊,虞,平,三,合,虞
敷,敷,滂,虞,平,三,合,虞
麩,敷,滂,虞,平,三,合,虞
麱,敷,滂,虞,平,三,合,虞
孚,敷,滂,虞,平,三,合,虞
𣞒,敷,滂,虞,平,三,合,虞
郛,敷,滂,虞,平,三,合,虞
鄜,敷,滂,虞,平,三,合,虞
鋪,敷,滂,虞,平,三,合,虞
筟,敷,滂,虞,平,三,合,虞
俘,敷,滂,虞,平,三,合,虞
痡,敷,滂,虞,平,三,合,虞
殍,敷,滂,虞,平,三,合,虞
怤,敷,滂,虞,平,三,合,虞
䎔,敷,滂,虞,平,三,合,虞
𧀮,敷,滂,虞,平,三,合,虞
孵,敷,滂,虞,平,三,合,虞
豧,敷,滂,虞,平,三,合,虞
尃,敷,滂,虞,平,三,合,虞
䱐,敷,滂,虞,平,三,合,虞
罦,敷,滂,虞,平,三,合,虞
稃,敷,滂,虞,平,三,合,虞
𥹃,敷,滂,虞,平,三,合,虞
莩,敷,滂,虞,平,三,合,虞
泭,敷,滂,虞,平,三,合,虞
郙,敷,滂,虞,平,三,合,虞
㕊,敷,滂,虞,平,三,合,虞
桴,敷,滂,虞,平,三,合,虞
䒀,敷,滂,虞,平,三,合,虞
㩤,敷,滂,虞,平,三,合,虞
姇,敷,滂,虞,平,三,合,虞
荂,敷,滂,虞,平,三,合,虞
紨,敷,滂,虞,平,三,合,虞
䓵,敷,滂,虞,平,三,合,虞
㲗,敷,滂,虞,平,三,合,虞
䓏,敷,滂,虞,平,三,合,虞
秿,敷,滂,虞,平,三,合,虞
諏,諏,精,虞,平,三,合,虞
㖩,諏,精,虞,平,三,合,虞
𡸨,諏,精,虞,平,三,合,虞
娵,諏,精,虞,平,三,合,虞
陬,諏,精,虞,平,三,合,虞
嗺,諏,精,虞,平,三,合,虞
掫,諏,精,虞,平,三,合,虞
跗,跗,幫,虞,平,三,合,虞
趺,跗,幫,虞,平,三,合,虞
膚,跗,幫,虞,平,三,合,虞
肤,跗,幫,虞,平,三,合,虞
邞,跗,幫,虞,平,三,合,虞
鈇,跗,幫,虞,平,三,合,虞
衭,跗,幫,虞,平,三,合,虞
㠸,跗,幫,虞,平,三,合,虞
玞,跗,幫,虞,平,三,合,虞
𩿧,跗,幫,虞,平,三,合,虞
𧀴,跗,幫,虞,平,三,合,虞
簠,跗,幫,虞,平,三,合,虞
夫,跗,幫,虞,平,三,合,虞
鳺,跗,幫,虞,平,三,合,虞
柎,跗,幫,虞,平,三,合,虞
扶,跗,幫,虞,平,三,合,虞
𩬙,跗,幫,虞,平,三,合,虞
𩵩,跗,幫,虞,平,三,合,虞
䄮,跗,幫,虞,平,三,合,虞
䃿,跗,幫,虞,平,三,合,虞
妋,跗,幫,虞,平,三,合,虞
紆,紆,影,虞,平,三,合,虞
䩒,紆,影,虞,平,三,合,虞
陓,紆,影,虞,平,三,合,虞
扜,紆,影,虞,平,三,合,虞
䩽,紆,影,虞,平,三,合,虞
䙔,紆,影,虞,平,三,合,虞
蓲,紆,影,虞,平,三,合,虞
迂,紆,影,虞,平,三,合,虞
䣿,紆,影,虞,平,三,合,虞
㝼,紆,影,虞,平,三,合,虞
虶,紆,影,虞,平,三,合,虞
䨕,紆,影,虞,平,三,合,虞
輸,輸,書,虞,平,三,合,虞
鄃,輸,書,虞,平,三,合,虞
隃,輸,書,虞,平,三,合,虞
樞,樞,昌,虞,平,三,合,虞
姝,樞,昌,虞,平,三,合,虞
𩪍,樞,昌,虞,平,三,合,虞
袾,樞,昌,虞,平,三,合,虞
䇬,樞,昌,虞,平,三,合,虞
廚,廚,澄,虞,平,三,合,虞
蹰,廚,澄,虞,平,三,合,虞
趎,廚,澄,虞,平,三,合,虞
幮,廚,澄,虞,平,三,合,虞
裯,廚,澄,虞,平,三,合,虞
拘,拘,見,虞,平,三,合,虞
駒,拘,見,虞,平,三,合,虞
䀠,拘,見,虞,平,三,合,虞
眗,拘,見,虞,平,三,合,虞
岣,拘,見,虞,平,三,合,虞
㪺,拘,見,虞,平,三,合,虞
𨞜,拘,見,虞,平,三,合,虞
捄,拘,見,虞,平,三,合,虞
跔,拘,見,虞,平,三,合,虞
鮈,拘,見,虞,平,三,合,虞
俱,拘,見,虞,平,三,合,虞
痀,拘,見,虞,平,三,合,虞
𥇛,拘,見,虞,平,三,合,虞
𥗫,拘,見,虞,平,三,合,虞
毹,毹,生,虞,平,三,合,虞
㡏,毹,生,虞,平,三,合,虞
橾,毹,生,虞,平,三,合,虞
螋,毹,生,虞,平,三,合,虞
模,模,明,模,平,一,開,模
橅,模,明,模,平,一,開,模
摸,模,明,模,平,一,開,模
嫫,模,明,模,平,一,開,模
㡔,模,明,模,平,一,開,模
𨡭,模,明,模,平,一,開,模
謨,模,明,模,平,一,開,模
𠻚,模,明,模,平,一,開,模
墲,模,明,模,平,一,開,模
无,模,明,模,平,一,開,模
䉑,模,明,模,平,一,開,模
膜,模,明,模,平,一,開,模
酺,酺,並,模,平,一,開,模
匍,酺,並,模,平,一,開,模
蜅,酺,並,模,平,一,開,模
荹,酺,並,模,平,一,開,模
樸,酺,並,模,平,一,開,模
菩,酺,並,模,平,一,開,模
䔕,酺,並,模,平,一,開,模
蒲,酺,並,模,平,一,開,模
蒱,酺,並,模,平,一,開,模
䈻,酺,並,模,平,一,開,模
胡,胡,匣,模,平,一,開,模
𩑶,胡,匣,模,平,一,開,模
𠴱,胡,匣,模,平,一,開,模
壺,胡,匣,模,平,一,開,模
狐,胡,匣,模,平,一,開,模
瓳,胡,匣,模,平,一,開,模
餬,胡,匣,模,平,一,開,模
瑚,胡,匣,模,平,一,開,模
湖,胡,匣,模,平,一,開,模
鶘,胡,匣,模,平,一,開,模
猢,胡,匣,模,平,一,開,模
醐,胡,匣,模,平,一,開,模
𪏻,胡,匣,模,平,一,開,模
䊀,胡,匣,模,平,一,開,模
𪍒,胡,匣,模,平,一,開,模
糊,胡,匣,模,平,一,開,模
弧,胡,匣,模,平,一,開,模
乎,胡,匣,模,平,一,開,模
𠀒,胡,匣,模,平,一,開,模
𪕱,胡,匣,模,平,一,開,模
瓠,胡,匣,模,平,一,開,模
葫,胡,匣,模,平,一,開,模
㾰,胡,匣,模,平,一,開,模
魱,胡,匣,模,平,一,開,模
箶,胡,匣,模,平,一,開,模
䉉,胡,匣,模,平,一,開,模
𥶜,胡,匣,模,平,一,開,模
𧛞,胡,匣,模,平,一,開,模
㯛,胡,匣,模,平,一,開,模
虖,胡,匣,模,平,一,開,模
孤,孤,見,模,平,一,開,模
苽,孤,見,模,平,一,開,模
菰,孤,見,模,平,一,開,模
胍,孤,見,模,平,一,開,模
𡗷,孤,見,模,平,一,開,模
姑,孤,見,模,平,一,開,模
辜,孤,見,模,平,一,開,模
呱,孤,見,模,平,一,開,模
泒,孤,見,模,平,一,開,模
酤,孤,見,模,平,一,開,模
觚,孤,見,模,平,一,開,模
蛄,孤,見,模,平,一,開,模
箛,孤,見,模,平,一,開,模
鴣,孤,見,模,平,一,開,模
橭,孤,見,模,平,一,開,模
𠷞,孤,見,模,平,一,開,模
沽,孤,見,模,平,一,開,模
柧,孤,見,模,平,一,開,模
𨬕,孤,見,模,平,一,開,模
䉉,孤,見,模,平,一,開,模
𧇡,孤,見,模,平,一,開,模
盬,孤,見,模,平,一,開,模
嫴,孤,見,模,平,一,開,模
罛,孤,見,模,平,一,開,模
軱,孤,見,模,平,一,開,模
箍,孤,見,模,平,一,開,模
䐻,孤,見,模,平,一,開,模
㼋,孤,見,模,平,一,開,模
徒,徒,定,模,平,一,開,模
𨑒,徒,定,模,平,一,開,模
屠,徒,定,模,平,一,開,模
瘏,徒,定,模,平,一,開,模
塗,徒,定,模,平,一,開,模
途,徒,定,模,平,一,開,模
酴,徒,定,模,平,一,開,模
駼,徒,定,模,平,一,開,模
𤙛,徒,定,模,平,一,開,模
鵌,徒,定,模,平,一,開,模
涂,徒,定,模,平,一,開,模
梌,徒,定,模,平,一,開,模
㭸,徒,定,模,平,一,開,模
荼,徒,定,模,平,一,開,模
圖,徒,定,模,平,一,開,模
啚,徒,定,模,平,一,開,模
廜,徒,定,模,平,一,開,模
䣝,徒,定,模,平,一,開,模
菟,徒,定,模,平,一,開,模
捈,徒,定,模,平,一,開,模
䣄,徒,定,模,平,一,開,模
䅷,徒,定,模,平,一,開,模
嵞,徒,定,模,平,一,開,模
峹,徒,定,模,平,一,開,模
𣘻,徒,定,模,平,一,開,模
鍍,徒,定,模,平,一,開,模
